from_address,f0_,f1_,tx_count
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-20,8557868313647656691.134952005,1771
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-08,5280507874505063704.671675923,3061
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-09,6322137995300043802.014892685,2283
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-20,6362319229556135770.234986945,2681
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-12,14408805518339294839.039345938,1957
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-19,6483493717468073292.61521377,1801
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-24,10369501455899653979.238754325,1734
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-04-12,18802323842240730789.897904352,1861
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-01-29,3921475146799423119.591746173,9014
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-19,21074577473975686627.645204863,2221
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-13,3502415282547814207.650273224,1464
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-28,17731019509722222222.222222222,1620
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-09,4618771745078125000,1536
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-07,13475232879940978077.571669477,2372
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-01,3910321936910656620.021528525,4645
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-22,4679105844858353190.362721737,3777
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-17,10748717737348148148.148148148,1350
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-11,10720352699368610944.076969333,1663
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-04,8199929325544344131.7047265,1883
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-27,7980091943118489583.333333333,1536
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-18,4103391500846543001.686340641,5930
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-28,5393565736815901196.449247395,5182
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-01-25,4159639157082386703.336123401,8363
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-01,8344524234852859522.487506941,1801
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-04-15,10619806285900305188.199389624,1966
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-06,4939839501213579256.883186314,3741
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-17,13306431885852660300.136425648,1466
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-04,6663317626255458515.283842795,1832
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-03,11255450026006230529.595015576,1605
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-03,11420559922218750000,1920
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-20,4518705776499242806.663301363,3962
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-01,5104628279582441113.490364026,2802
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-13,4752432123928205128.205128205,3900
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-06,5794909106137368242.094525672,2941
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-11,9190845558756756756.756756757,3145
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-02-26,9432809121937092443.421557346,2607
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-11,13115118925353535353.535353535,1485
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-22,15571901616272590361.445783133,1328
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-15,5425922387768656716.417910448,4020
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-13,4424036581098523858.56505321,5826
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-20,9286190750186418109.187749667,2253
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-17,7293293917164556962.025316456,2765
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-06,16818774902745227123.107307439,1519
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-15,6132003374112765957.446808511,4700
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-31,11424359882558962264.150943396,1696
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-28,10354596727226430976.430976431,2376
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-29,7886712365185900531.144374698,2071
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-11,9390056505901246404.6021093,2086
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-03,4248924128760175328.741390106,1597
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-04-11,15919616516344554455.445544554,2525
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-02-13,14805738140152460152.46015246,1443
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-07,7257458578898840885.142255005,1898
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-13,8639152171475334255.417242969,2169
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-04,13488239951681468324.452338662,1689
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-10,7896473134914625092.798812175,1347
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-24,11691467195090425531.914893617,1880
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-02,7601803652110405471.421592574,2047
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-24,10272001883968547641.073080481,1081
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-15,7386910254257842387.14613619,2614
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-05,5222820875895372233.400402414,3479
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-28,9252393140471227911.191662891,2207
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-24,6188053768875986994.890849977,4306
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-26,0,327
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-24,7118434196643177450.352338245,1561
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-14,2764694983613893376.413570275,6190
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-29,8829072492212855637.51317176,1898
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-22,4264474497364464692.482915718,4390
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-12-18,24276532842950924155.513065647,1569
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-10,8568366906039713182.570325427,1813
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-14,8987098854110457220.461747397,2209
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-27,3417681318613794652.886991687,4451
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-25,15904959502620390455.531453362,2305
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-06,7452336458717948717.948717949,2028
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-22,6192312295152647975.07788162,1605
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-28,10527659912393278837.420526794,2202
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-06-30,6278360229127368884.971353019,2269
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-24,4367552284448102853.559109439,6378
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-01,13178749322629921259.842519685,1905
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-21,5259367364021144732.045205979,2743
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-01-08,3566705674425825529.81764416,6087
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-17,19026885746457505957.108816521,2518
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-02-02,10165357953619729514.717581543,1257
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-04,10320010466608108108.108108108,1480
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-13,8341110833404255319.14893617,1410
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-02-11,12158714913488664987.405541562,1588
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-03,16519021264900900900.900900901,1665
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-05,6104313845135914332.784184514,2428
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-16,12885448002606951871.657754011,1496
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-21,4320189474649280575.539568345,4448
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-04,4363166099974614333.138058973,5121
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-20,10259738050250284414.106939704,1758
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-04-05,7836150652084337349.397590361,2490
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-13,4328871137893518518.518518519,1728
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-11,8253645816406812970.848345889,3053
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-23,6632037318895348837.209302326,2408
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-05,7084434676970172684.458398744,2548
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-19,4587283377998042094.958394518,4086
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-05-07,7572663435348581482.296019353,4547
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-21,5923335401976160602.25846926,1594
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-30,10762773972973835354.17996171,1567
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-15,8283564290148641722.193746797,1951
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-13,5156637644774376216.598832065,5651
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-04,9513227090714846818.538884525,1273
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-08,8647583727962648556.876061121,1767
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-08-29,7478529097034090909.090909091,1760
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-10-23,11509960765348525469.168900804,2238
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-12,6157897751170028818.443804035,1735
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-18,7307147042077662129.70376301,2498
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-28,4235801824568825910.931174089,4940
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-11-21,11931175331371603856.266432954,2282
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-02,9346770259639684106.614017769,2026
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-14,10125922158934937611.408199643,2244
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-11,9588944753598233995.584988962,1359
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-17,4513599595914965986.394557823,2940
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-19,8887723291624573378.839590444,1465
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-04-26,11286352256054030115.146147033,2258
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-06-16,11688788172833268558.103381267,2573
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-10-17,9218438448180970149.253731343,2144
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-10,3839292376019358741.681790684,6612
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-01-15,3173886941893032272.779108222,8769
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-01-21,7043606745283400809.71659919,1482
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-11-04,11252601432769423558.897243108,1596
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-05,3151763618272862295.777636325,4713
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-09-16,15151926505961754780.652418448,1778
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-02-26,4774507734969893469.198703103,4318
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-06,11336289477683347713.546160483,2318
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-04,3838930244943797261.393827917,4893
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-08,11610903817093551316.984559491,2202
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-30,17577178562836624775.583482944,2785
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-05-16,14883357362511115816.218505187,4723
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-02-14,10288983820399373531.71495693,1277
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-03-12,9272307854523912106.850495476,2321
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-03-16,3714727954082914572.864321608,3184
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-07-03,9215842221089803554.72404116,2138
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-12,5433332030311465836.091103757,5137
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-07-09,7839640314696897374.701670644,2095
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2019-08-18,5177738813898426323.319027182,1398
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-09-25,14956178531442731277.533039648,1816
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,2018-04-18,5567374503679197994.987468672,3990
